job_tittle_rev,salary_estimation,min_salary_est,max_salary_est,avg_salary_est,skill_excel,skill_python,skill_sql,skill_tableau,skill_powerbi,Rating,company_name,location,state,Headquarters,company_size(emp),Founded,Type of ownership,Industry,Sector,Revenue,avg_revenue_million,min_revenue_million,max_revenue_million
Consumer Lending Data Analyst,27000-52000,27000,52000,39500,FALSE,FALSE,TRUE,TRUE,FALSE,3.2,Informa,New York,New York,"London, United Kingdom",> 10000,1998,Company - Public,Publishing,Media,$2 to $5 billion (USD),3500,2000,5000
Data Analyst - Cbch,27000-52000,27000,52000,39500,TRUE,FALSE,FALSE,FALSE,FALSE,3.8,Columbia University Medical Center,New York,New York,"New York, NY",5001-10000,,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),250500,500000,1000
Solar Data Analyst,27000-52000,27000,52000,39500,FALSE,FALSE,FALSE,FALSE,FALSE,3.7,Momentum Solar,South Plainfield,New Jersey,"South Plainfield, NJ",501-1000,2009,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,,,
Data Science Lead Analyst,27000-52000,27000,52000,39500,TRUE,TRUE,TRUE,TRUE,FALSE,4.6,Viva Usa Inc,Franklin Lakes,New Jersey,"Rolling Meadows, IL",51-200,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),37.5,25,50
Clinical Data Analyst,42000-74000,42000,74000,58000,TRUE,FALSE,FALSE,FALSE,FALSE,2.7,Prohealth Medical Management,Lake Success,New York,"Lake Success, NY",1001-5000,1997,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,,
"Remote: Data Analyst (Data Lineage, Financial Industry)_Long Term",42000-74000,42000,74000,58000,FALSE,FALSE,TRUE,FALSE,FALSE,4,Reliable Software Resources,New York,New York,"Northville, MI",501-1000,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),75,50,100
Sr. Data Analyst,42000-74000,42000,74000,58000,FALSE,TRUE,TRUE,FALSE,FALSE,,Maisonette Careers,Brooklyn,New York,,,,,,,,,,
Data Governance Analyst,42000-74000,42000,74000,58000,FALSE,FALSE,FALSE,FALSE,FALSE,3.5,Donnelly & Moore Corporation,New York,New York,"New City, NY",1-50,1997,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,,,
"Data Management, Firmwide Data Quality, Analyst",42000-74000,42000,74000,58000,TRUE,FALSE,FALSE,TRUE,FALSE,3.9,J.P. Morgan,Newark,New Jersey,"New York, NY",> 10000,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),,,
Compensation And Data Analyst (Human Resources),42000-74000,42000,74000,58000,TRUE,FALSE,FALSE,FALSE,FALSE,4.1,Saratoga Medical Center,New York,New York,"Fairfax, VA",201-500,1985,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),17.5,10,25
Sr. Data Analyst,42000-74000,42000,74000,58000,TRUE,TRUE,TRUE,TRUE,TRUE,3.1,Yai/Nipd Network,New York,New York,"New York, NY",5001-10000,1957,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),300,100,500
Jr. Data Analyst,42000-74000,42000,74000,58000,TRUE,TRUE,TRUE,FALSE,FALSE,3.1,Mount Sinai Medical Center,New York,New York,"Miami Beach, FL",1001-5000,1946,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),250500,500000,1000
Ny Healthcare Data/Reporting Analyst,42000-74000,42000,74000,58000,TRUE,TRUE,TRUE,TRUE,FALSE,3.9,Diverse Lynx,New York,New York,"Princeton, NJ",501-1000,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),300,100,500
Data Analyst,42000-74000,42000,74000,58000,TRUE,FALSE,FALSE,FALSE,FALSE,4.3,Quad Consultancy,Mount Vernon,New York,"Mosta, Malta",1-50,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,,,
Big Data Qa Analyst / Qa Tester / Test Analyst,42000-74000,42000,74000,58000,FALSE,TRUE,TRUE,FALSE,FALSE,3.7,"Competent Systems, Inc",Jersey City,New Jersey,"Alpharetta, GA",201-500,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),17.5,10,25
Sr. Data Analyst,42000-74000,42000,74000,58000,TRUE,FALSE,TRUE,FALSE,FALSE,3.2,1199Seiu Funds,New York,New York,"New York, NY",1001-5000,,Nonprofit Organization,Insurance Carriers,Insurance,$100 to $500 million (USD),300,100,500
Senior Supply Chain Data Analyst,42000-74000,42000,74000,58000,TRUE,TRUE,TRUE,FALSE,FALSE,3.8,Peloton Interactive,New York,New York,"New York, NY",1001-5000,2012,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,,,
"Data Analyst, Capital Markets (Manager)",42000-74000,42000,74000,58000,TRUE,FALSE,TRUE,FALSE,FALSE,3.5,Genpact,New York,New York,"New York, NY",> 10000,1997,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),3500,2000,5000
"Analyst, People Operations & Hr Data",42000-74000,42000,74000,58000,TRUE,FALSE,FALSE,FALSE,FALSE,,Lacoste Corporate,New York,New York,,,,,,,,,,
"Senior Analyst, Data Instrumentation & Quality (Disney+)",42000-74000,42000,74000,58000,TRUE,TRUE,TRUE,FALSE,FALSE,3.6,Disney Streaming Services,New York,New York,"New York, NY",501-1000,2018,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,,
Cib F&Bm Global Program Management Emea - International Regulatory - Data Provisioning Business Analyst - Associate,42000-74000,42000,74000,58000,FALSE,FALSE,FALSE,FALSE,FALSE,3.9,J.P. Morgan,New York,New York,"New York, NY",> 10000,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),,,
Business Data Analyst (Financial Services),42000-74000,42000,74000,58000,FALSE,FALSE,FALSE,FALSE,FALSE,,The Enosys Group Llc,New York,New York,"Tuxedo Park, NY",1-50,,Company - Private,,,Less than $1 million (USD),,,
Senior It Technical Data Analyst,42000-74000,42000,74000,58000,TRUE,FALSE,FALSE,FALSE,FALSE,2.4,Emblemhealth,New York,New York,"New York, NY",1001-5000,1937,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD),7500,5000,10000
Data Analyst/Data Acquisition Speciliest With Financial Industry Exp,42000-74000,42000,74000,58000,FALSE,FALSE,TRUE,FALSE,FALSE,4,Reliable Software Resources,New York,New York,"Northville, MI",501-1000,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),75,50,100
Data Analyst/Data Scanning With Financial Industry Exp,42000-74000,42000,74000,58000,FALSE,FALSE,TRUE,FALSE,FALSE,4,Reliable Software Resources,New York,New York,"Northville, MI",501-1000,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),75,50,100
Sr. Business Analyst,42000-74000,42000,74000,58000,TRUE,TRUE,TRUE,TRUE,TRUE,3.6,Jackson Hewitt,Jersey City,New Jersey,"Jersey City, NJ",201-500,1982,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable,,,
Sr. Data Analyst,42000-74000,42000,74000,58000,TRUE,FALSE,FALSE,FALSE,FALSE,4,Reliable Software Resources,New York,New York,"Northville, MI",501-1000,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),75,50,100
"Senior Manager, Data Analyst",42000-74000,42000,74000,58000,TRUE,FALSE,FALSE,TRUE,FALSE,3.2,National Kidney Foundation,New York,New York,"New York, NY",51-200,1964,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,$25 to $50 million (USD),37.5,25,50
Sr. Business Analyst,42000-74000,42000,74000,58000,FALSE,FALSE,TRUE,FALSE,FALSE,2.5,Checkedup,New York,New York,"New York, NY (US), NY",1-50,,Company - Private,,,Unknown / Non-Applicable,,,
Risk Adjustment Data Analyst,42000-74000,42000,74000,58000,TRUE,TRUE,TRUE,FALSE,FALSE,3.6,Horizon Blue Cross Blue Shield Of New Jersey,Newark,New Jersey,"Newark, NJ",1001-5000,1932,Nonprofit Organization,Insurance Carriers,Insurance,$10+ billion (USD),,,
Sr. Data Analyst,42000-74000,42000,74000,58000,TRUE,FALSE,FALSE,TRUE,FALSE,3,Ipro,Lake Success,New York,"N New Hyde Park, NY",201-500,1984,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),75,50,100
"Sr. Data Analyst, Retail Media",77000-132000,77000,132000,104500,FALSE,TRUE,TRUE,FALSE,FALSE,3.9,Criteo,New York,New York,"Paris, France",1001-5000,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),3500,2000,5000
Sr It Technical Data Analyst,77000-132000,77000,132000,104500,TRUE,FALSE,FALSE,FALSE,FALSE,2.4,Emblemhealth,New York,New York,"New York, NY",1001-5000,1937,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD),7500,5000,10000
Senior Marketing Data Analyst,77000-132000,77000,132000,104500,TRUE,TRUE,TRUE,TRUE,FALSE,2.8,Ergo,New York,New York,"New York, NY",1-50,2004,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,,,
Sr. Data Analyst,77000-132000,77000,132000,104500,FALSE,TRUE,TRUE,FALSE,FALSE,4.4,Act Consulting,New York,New York,"London, United Kingdom",1-50,,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,,,
Tx Healthcare Data/Reporting Analyst,77000-132000,77000,132000,104500,TRUE,TRUE,TRUE,TRUE,FALSE,4.8,Tekfortune Inc.,New York,New York,"Piscataway, NJ",1-50,,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,,,
Senior Sql Data Warehouse Analyst,77000-132000,77000,132000,104500,FALSE,FALSE,TRUE,FALSE,FALSE,2.8,"Intercontinental Exchange, Inc.",New York,New York,"Atlanta, GA",1001-5000,2000,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),7500,5000,10000
Jr. Data Analyst,77000-132000,77000,132000,104500,TRUE,FALSE,TRUE,FALSE,FALSE,5,"Staffigo Technical Services, Llc",New York,New York,"Woodridge, IL",51-200,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),75,50,100
Sr. Power BI With Dax - Data Analyst,77000-132000,77000,132000,104500,TRUE,FALSE,FALSE,FALSE,TRUE,3.7,"8K Miles Software Services, Inc.",New York,New York,"Santa Clara, CA",201-500,2008,Company - Public,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),3,1,5
Informatica Idq - Data Quality Analyst (Contract),77000-132000,77000,132000,104500,FALSE,FALSE,FALSE,FALSE,FALSE,4,Two95 International Inc.,New York,New York,"Cherry Hill, NJ",1-50,,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),3,1,5
"Senior Solutions Analyst, Data Specialist",77000-132000,77000,132000,104500,TRUE,FALSE,TRUE,FALSE,FALSE,4.2,Vts,New York,New York,"New York, NY",201-500,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),75,50,100
Operations Data Analyst,77000-132000,77000,132000,104500,FALSE,FALSE,FALSE,FALSE,FALSE,,Sky I.T. Group (Sky Business Intelligence Team),New York,New York,,,,,,,,,,
Hr Data Analyst,77000-132000,77000,132000,104500,TRUE,FALSE,FALSE,FALSE,TRUE,3.5,Robert Half,Jersey City,New Jersey,"Menlo Park, CA",> 10000,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),3500,2000,5000
Sr. Data Analyst,77000-132000,77000,132000,104500,TRUE,FALSE,TRUE,FALSE,FALSE,2,Village Care,New York,New York,"New York, NY",501-1000,1977,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),300,100,500
Senior Data Quality Analyst,77000-132000,77000,132000,104500,TRUE,FALSE,TRUE,TRUE,FALSE,3.3,Quest Diagnostics,Secaucus,New Jersey,"Secaucus, NJ",> 10000,1967,Company - Public,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),7500,5000,10000
Financial Data Analyst - Accounting Ll,77000-132000,77000,132000,104500,TRUE,FALSE,TRUE,FALSE,FALSE,,Softinc,New York,New York,"South Plainfield, NJ",51-200,2018,Company - Public,,,$1 to $5 million (USD),3,1,5
Data Analyst - Litigation,77000-132000,77000,132000,104500,FALSE,FALSE,TRUE,FALSE,FALSE,,"Knowledgepro, Llc",New York,New York,,,,,,,,,,
Quantitative Data Analyst/Developer,77000-132000,77000,132000,104500,FALSE,TRUE,FALSE,FALSE,FALSE,5,Creative Data Resources,New York,New York,"New York, NY",1-50,1992,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,,,
Sr. Business Analyst,77000-132000,77000,132000,104500,FALSE,TRUE,TRUE,TRUE,TRUE,3.4,Eversana,New York,New York,"Chicago, IL",1001-5000,2018,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,,
Sr. Data Analyst,77000-132000,77000,132000,104500,TRUE,TRUE,FALSE,TRUE,FALSE,3.6,National Grid Usa,Brooklyn,New York,"Waltham, MA",> 10000,1990,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$5 to $10 billion (USD),7500,5000,10000
Data Analyst - Cardiac Cath Lab,77000-132000,77000,132000,104500,TRUE,FALSE,FALSE,FALSE,FALSE,2.1,Barnabas Health,West Orange,New Jersey,"Gibsonia, PA",501-1000,,Company - Public,,,$5 to $10 million (USD),7.5,5,10
Senior Data Business Analyst,77000-132000,77000,132000,104500,TRUE,TRUE,TRUE,FALSE,FALSE,2.8,Aegis Media,New York,New York,"London, United Kingdom",1001-5000,1978,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$2 to $5 billion (USD),3500,2000,5000
Business Analyst/Data Analyst - Capital Markets Data,77000-132000,77000,132000,104500,FALSE,FALSE,FALSE,FALSE,FALSE,3,Rms Computer Corporation,Jersey City,New Jersey,"New York, NY",201-500,1985,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),37.5,25,50
"Firmwide Reference Data Operations, Pricing Operations, Analyst",77000-132000,77000,132000,104500,TRUE,FALSE,TRUE,FALSE,FALSE,3.9,J.P. Morgan,Newark,New Jersey,"New York, NY",> 10000,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),,,
Senior Healthcare Data Analyst,77000-132000,77000,132000,104500,TRUE,FALSE,TRUE,FALSE,FALSE,4.5,Ramps International Inc,New York,New York,"Edison, NJ",51-200,,Company - Private,Consulting,Business Services,$5 to $10 million (USD),7.5,5,10
"Data Analyst, Quality & Patient Safety",77000-132000,77000,132000,104500,TRUE,FALSE,FALSE,FALSE,FALSE,,Episcopal Health Services Inc.,Far Rockaway,New York,,,,,,,,,,
Sr. Data Analyst,77000-132000,77000,132000,104500,TRUE,FALSE,TRUE,TRUE,FALSE,4,Nyu Langone Health,New York,New York,"New York, NY",> 10000,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),7500,5000,10000
Qa Data Analyst,77000-132000,77000,132000,104500,TRUE,FALSE,TRUE,FALSE,FALSE,5,Professional Resource Group,Lake Success,New York,"Spring, TX",1-50,,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),,,
Sr. Data Analyst,77000-132000,77000,132000,104500,TRUE,FALSE,TRUE,TRUE,FALSE,3,Altice Usa,Long Island City,New York,"Queens Village, NY",> 10000,,Company - Public,,,Unknown / Non-Applicable,,,
"Data Analyst/Project Manager In Jersey City, New Jersey | Careers At Harborside",77000-132000,77000,132000,104500,TRUE,FALSE,TRUE,FALSE,FALSE,3.4,Sumitomo Mitsui Banking Corporation (Smbc),Jersey City,New Jersey,"Tokyo, Japan",> 10000,1996,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),,,
Senior Financial Analyst - Enterprise Data,98000-114000,98000,114000,106000,TRUE,FALSE,FALSE,FALSE,FALSE,3.2,Geller & Company,New York,New York,"New York, NY",501-1000,1984,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,,,
Data Analyst With Data Lineage/Rochade,98000-114000,98000,114000,106000,FALSE,FALSE,FALSE,FALSE,FALSE,4,Reliable Software Resources,Florham Park,New Jersey,"Northville, MI",501-1000,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),75,50,100
Senior Market Data Content Acquisition/Procurement Analyst,98000-114000,98000,114000,106000,TRUE,FALSE,FALSE,FALSE,FALSE,2.8,"Intercontinental Exchange, Inc.",New York,New York,"Atlanta, GA",1001-5000,2000,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),7500,5000,10000
Sr. Specialist Reporting Data Analyst /Engineer - Cloud,98000-114000,98000,114000,106000,TRUE,FALSE,FALSE,FALSE,FALSE,3.2,The Bank Of New York Mellon,Florham Park,New Jersey,"New York, NY",> 10000,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),,,
Sr. Business Analyst,98000-114000,98000,114000,106000,TRUE,FALSE,TRUE,TRUE,FALSE,3.4,Plymouth Rock Assurance,Woodbridge,New Jersey,"Boston, MA",1001-5000,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),17.5,10,25
Data Science Analyst Ii - Mount Sinai Health Partners,98000-114000,98000,114000,106000,TRUE,FALSE,FALSE,FALSE,FALSE,3.4,Mount Sinai Health System,New York,New York,"New York, NY",> 10000,2013,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),1500,1000,2000
Ny Healthcare Data/Reporting Analyst,98000-114000,98000,114000,106000,TRUE,TRUE,TRUE,TRUE,FALSE,3.5,Sat Healthcare,New York,New York,"Santa Clara, CA",201-500,2002,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),75,50,100
Data Analyst,98000-114000,98000,114000,106000,TRUE,FALSE,FALSE,FALSE,FALSE,3.3,Atrium Staffing,Parsippany,New Jersey,"New York, NY",51-200,1995,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,,,
Technical Business Analyst With Retail Banking And Large Data Program,98000-114000,98000,114000,106000,TRUE,FALSE,TRUE,FALSE,FALSE,3.7,Eteam Inc.,New York,New York,"South Plainfield, NJ",51-200,1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),75,50,100
Principal Sales Operations Analyst - Oracle Data Cloud,98000-114000,98000,114000,106000,TRUE,FALSE,FALSE,FALSE,FALSE,3.6,Oracle,New York,New York,"Redwood City, CA",> 10000,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),,,
Qa Production Data Analyst,98000-114000,98000,114000,106000,TRUE,FALSE,TRUE,FALSE,FALSE,2.7,Metroplus Health Plan,New York,New York,"New York, NY",1001-5000,1985,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),3500,2000,5000
Jpsc-7462 - Data Analyst Lead - Sr. Tableau Lead,98000-114000,98000,114000,106000,FALSE,FALSE,FALSE,TRUE,FALSE,4.5,Avani Technology Solutions,Whippany,New Jersey,"Rochester, NY",501-1000,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),75,50,100
Data Services Lead Analyst,98000-114000,98000,114000,106000,TRUE,FALSE,FALSE,FALSE,FALSE,2.5,Primesoft,New York,New York,"LISBOA, Portugal",1-50,,Company - Private,IT Services,Information Technology,Less than $1 million (USD),,,
Sr. Data Analyst,98000-114000,98000,114000,106000,FALSE,TRUE,TRUE,FALSE,FALSE,4.4,Riskified,New York,New York,"New York, NY",501-1000,2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,,,
Sr. Data Analyst,98000-114000,98000,114000,106000,FALSE,FALSE,TRUE,FALSE,FALSE,,Ipro.Org,Great Neck,New York,,,,,,,,,,
Senior Healthcare Data Analyst,98000-114000,98000,114000,106000,TRUE,FALSE,FALSE,TRUE,FALSE,4.3,Cecelia Health,New York,New York,"New York, NY",51-200,2009,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,,
Regulatory Risk Management Data Analytics And Reporting Analyst,98000-114000,98000,114000,106000,TRUE,FALSE,FALSE,FALSE,FALSE,5,Creative Data Resources,New York,New York,"New York, NY",1-50,1992,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,,,
Ny Healthcare Data/Reporting Analyst,98000-114000,98000,114000,106000,TRUE,TRUE,TRUE,TRUE,FALSE,4.4,Systemart Llc,New York,New York,"Parsippany, NJ",1-50,,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),3,1,5
"Specialist, Data And Reporting Analyst - It Change Management",98000-114000,98000,114000,106000,TRUE,FALSE,FALSE,FALSE,FALSE,3.2,The Bank Of New York Mellon,Florham Park,New Jersey,"New York, NY",> 10000,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),,,
Datastage Developer/Consultant/Ibm Websphere Datastage Developer(Etl Data Analyst)-Only Local To Ny/,98000-114000,98000,114000,106000,TRUE,FALSE,TRUE,FALSE,FALSE,4.8,Techprojects,Jersey City,New Jersey,"North Brunswick, NJ",1-50,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,,,
Sr. Data Analyst,98000-114000,98000,114000,106000,FALSE,FALSE,TRUE,FALSE,FALSE,3,Ipro,Lake Success,New York,"N New Hyde Park, NY",201-500,1984,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),75,50,100
Data Warehouse Systems Analyst,98000-114000,98000,114000,106000,FALSE,FALSE,TRUE,FALSE,FALSE,5,Itech Recruiting,New York,New York,"Shepton Mallet, United Kingdom",51-200,,Company - Public,,,Unknown / Non-Applicable,,,
Tx Healthcare Data/Reporting Analyst,98000-114000,98000,114000,106000,TRUE,TRUE,TRUE,TRUE,FALSE,3.4,Rn Staff,New York,New York,"Westfield, IN",Unknown-,,Unknown,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,,,
Ny Healthcare Data/Reporting Analyst,98000-114000,98000,114000,106000,TRUE,TRUE,TRUE,TRUE,FALSE,4.2,Abacus Service Corporation,New York,New York,"Southfield, MI",501-1000,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,,,
Sr. Data Analyst - Rwe,98000-114000,98000,114000,106000,FALSE,FALSE,FALSE,TRUE,FALSE,4.2,Cybercoders,Hoboken,New Jersey,"Irvine, CA",201-500,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),300,100,500
Data Migration Lead/ Analyst (Migration Of Data To The New Target System),98000-114000,98000,114000,106000,TRUE,FALSE,TRUE,FALSE,FALSE,3.4,Technocraft Solutions,New York,New York,"Hilliard, OH",1-50,,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),3,1,5
Senior Data Analytics Solutions Analyst,98000-114000,98000,114000,106000,TRUE,TRUE,TRUE,TRUE,FALSE,3.1,Praescient Analytics,New York,New York,"Alexandria, VA",51-200,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),17.5,10,25
Technical Analyst - Access/Identity Data Security,98000-114000,98000,114000,106000,TRUE,FALSE,TRUE,FALSE,FALSE,,C&G Consulting Services,Hoboken,New Jersey,,,,,,,,,,
Data Analyst - Cardiac Cath Lab,98000-114000,98000,114000,106000,TRUE,FALSE,FALSE,FALSE,FALSE,3.7,Rwjbarnabas Health,West Orange,New Jersey,"West Orange, NJ",> 10000,1982,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),1500,1000,2000
Data Quality Management Analyst,98000-114000,98000,114000,106000,FALSE,FALSE,FALSE,FALSE,FALSE,4,Reliable Software Resources,New York,New York,"Northville, MI",501-1000,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),75,50,100
"Business Analyst (Sql/Sql Toad, Excel, Xml, X12, Hl7 Messaging, Data Quality Analysis)",48000-96000,48000,96000,72000,TRUE,FALSE,TRUE,FALSE,FALSE,4.3,Mvp Consulting Plus Inc,New York,New York,"Albany, NY",201-500,,Company - Private,Consumer Products Manufacturing,Manufacturing,$5 to $10 million (USD),7.5,5,10
Senior Teradata Developer / Data Analyst,48000-96000,48000,96000,72000,FALSE,FALSE,TRUE,FALSE,FALSE,3.8,Capgemini,Jersey City,New Jersey,"Paris, France",> 10000,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),,,
Data & Interface Analyst,48000-96000,48000,96000,72000,TRUE,FALSE,TRUE,FALSE,FALSE,2.4,Centers Plan For Healthy Living,Staten Island,New York,"Staten Island, NY",501-1000,,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,,
Ny Healthcare Data/Reporting Analyst,48000-96000,48000,96000,72000,TRUE,TRUE,TRUE,TRUE,FALSE,3.4,Rn Staff,New York,New York,"Westfield, IN",Unknown-,,Unknown,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,,,
Sr. Data Analyst,48000-96000,48000,96000,72000,TRUE,FALSE,TRUE,FALSE,FALSE,,Village Care,New York,New York,"Durham, United Kingdom",Unknown-,,Company - Private,,,Unknown / Non-Applicable,,,
Data Analyst (Must Have Pl/Sql And Healthcare Background),48000-96000,48000,96000,72000,FALSE,FALSE,TRUE,FALSE,FALSE,,Clear Technology Consulting,New York,New York,,,,,,,,,,
Data Analyst / It Data & Business Intelligence,48000-96000,48000,96000,72000,TRUE,FALSE,TRUE,FALSE,FALSE,4,Lorven Technologies Inc,Harrison,New York,"Plainsboro, NJ",1-50,,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),,,
Sr. Specialist Reporting Data Analyst -Technology,48000-96000,48000,96000,72000,TRUE,FALSE,FALSE,FALSE,FALSE,3.2,Bny Mellon,Florham Park,New Jersey,"New York, NY",> 10000,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),,,
Sr. Programmer Analyst - Big Data,48000-96000,48000,96000,72000,TRUE,FALSE,TRUE,FALSE,FALSE,3.3,Norgate Technology Inc,Jersey City,New Jersey,"Garden City, NY",51-200,1993,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),17.5,10,25
Sr. Data Analyst,48000-96000,48000,96000,72000,TRUE,FALSE,TRUE,TRUE,FALSE,,Nyu Family Health Centers,Brooklyn,New York,,,,,,,,,,
Data Analyst Â Junior,48000-96000,48000,96000,72000,TRUE,FALSE,TRUE,FALSE,FALSE,5,"Staffigo Technical Services, Llc",New York,New York,"Woodridge, IL",51-200,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),75,50,100
Sr. Principal Metrics Analyst- Data Scientist,48000-96000,48000,96000,72000,FALSE,FALSE,FALSE,FALSE,FALSE,3.2,The Bank Of New York Mellon,New York,New York,"New York, NY",> 10000,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),,,
Product & Pricing Data Analyst,48000-96000,48000,96000,72000,TRUE,FALSE,FALSE,FALSE,FALSE,3.1,Homebridge Financial Services,Iselin,New Jersey,"Iselin, NJ",1001-5000,1989,Company - Private,Lending,Finance,$10+ billion (USD),,,
Sap Data Analyst,48000-96000,48000,96000,72000,TRUE,FALSE,TRUE,FALSE,FALSE,3.9,Sharp Electronics Corporation,Montvale,New Jersey,"Montvale, NJ",1001-5000,1962,Company - Public,IT Services,Information Technology,$1 to $2 billion (USD),1500,1000,2000
Sr. Data Analyst,48000-96000,48000,96000,72000,FALSE,TRUE,TRUE,FALSE,FALSE,,Jr Cigar/Mc Management,Whippany,New Jersey,,,,,,,,,,
Clinical Data Designer (Sr. Sdtm Programmer/Analyst),48000-96000,48000,96000,72000,TRUE,FALSE,FALSE,FALSE,FALSE,2.5,"Avacend, Inc.",Woodcliff Lake,New Jersey,"Alpharetta, GA",51-200,,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,,,
